[2020-02-23T22:39:07,028][INFO ][o.e.n.Node               ] [_client_] initializing ...
[2020-02-23T22:39:07,247][INFO ][o.e.e.NodeEnvironment    ] [_client_] using [1] data paths, mounts [[(C:)]], net usable_space [235.2gb], net total_space [334gb], spins? [unknown], types [NTFS]
[2020-02-23T22:39:07,247][INFO ][o.e.e.NodeEnvironment    ] [_client_] heap size [1.9gb], compressed ordinary object pointers [true]
[2020-02-23T22:39:07,278][INFO ][o.e.n.Node               ] [_client_] node name [_client_], node ID [ZbSoyywZRCilNfmQ7ETy7A]
[2020-02-23T22:39:07,294][INFO ][o.e.n.Node               ] [_client_] version[5.6.16], pid[12840], build[3a740d1/2019-03-13T15:33:36.565Z], OS[Windows 10/10.0/amd64], JVM[Oracle Corporation/Java HotSpot(TM) 64-Bit Server VM/1.8.0_221/25.221-b11]
[2020-02-23T22:39:07,294][INFO ][o.e.n.Node               ] [_client_] JVM arguments [-Xms2g, -Xmx2g, -XX:+UseConcMarkSweepGC, -XX:CMSInitiatingOccupancyFraction=75, -XX:+UseCMSInitiatingOccupancyOnly, -XX:+AlwaysPreTouch, -Xss1m, -Djava.awt.headless=true, -Dfile.encoding=UTF-8, -Djna.nosys=true, -Djdk.io.permissionsUseCanonicalPath=true, -Dio.netty.noUnsafe=true, -Dio.netty.noKeySetOptimization=true, -Dio.netty.recycler.maxCapacityPerThread=0, -Dlog4j.shutdownHookEnabled=false, -Dlog4j2.disable.jmx=true, -Dlog4j.skipJansi=true, -XX:+HeapDumpOnOutOfMemoryError, -Delasticsearch, -Des.path.home=C:\Users\Alexandar\Documents\MASTER\1_semestar\UDD\elasticsearch-5.6.16]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [aggs-matrix-stats]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [ingest-common]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [lang-expression]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [lang-groovy]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [lang-mustache]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [lang-painless]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [parent-join]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [percolator]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [reindex]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [transport-netty3]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded module [transport-netty4]
[2020-02-23T22:39:12,872][INFO ][o.e.p.PluginsService     ] [_client_] loaded plugin [serbian-plugin]
